#Lambda,Qext,Qsca,Qabs,E^2
400.0,0.0022515724,0.0001220342000000001,0.0021295382,1.5644334
410.0,0.0022031328,0.00011207779999999976,0.002091055,1.5709637
420.0,0.0021495951,0.00010241449999999963,0.0020471806,1.5732125
430.0,0.0020985156,9.345659999999978e-05,0.002005059,1.5725474
440.0,0.002063412,8.587820000000024e-05,0.0019775338,1.5726249
450.0,0.0020300922,7.873289999999985e-05,0.0019513593,1.5693699
460.0,0.001975571,7.072660000000011e-05,0.0019048444,1.5540282
470.0,0.0019410869,6.444669999999993e-05,0.0018766402,1.5444149
480.0,0.0019455942,6.057250000000001e-05,0.0018850217,1.547602
490.0,0.0020147851,6.0968700000000025e-05,0.0019538164,1.588587
500.0,0.0022097824,6.954850000000018e-05,0.0021402339,1.7185442
510.0,0.0025817238,9.151649999999999e-05,0.0024902073,2.0216999
520.0,0.0031120631,0.00013049260000000005,0.0029815705,2.5882704
530.0,0.0033734064,0.00015927550000000013,0.0032141309,3.1271328
540.0,0.0031694217,0.00016161590000000024,0.0030078058,3.3687637
550.0,0.0025910135,0.00013548649999999994,0.002455527,3.1804971
560.0,0.0019961712,0.00010287520000000017,0.001893296,2.8214532
570.0,0.0015154508,7.277470000000008e-05,0.0014426761,2.4326949
580.0,0.0011857165,4.943089999999992e-05,0.0011362856,2.1151982
590.0,0.00098434434,3.225446999999997e-05,0.00095208987,1.9071188
600.0,0.00087435908,2.0404260000000062e-05,0.00085395482,1.8410246
610.0,0.000803935,1.2449679999999982e-05,0.00079148532,1.8385128
620.0,0.00072895342,7.347460000000001e-06,0.00072160596,1.7179617
630.0,0.00066630535,4.412469999999936e-06,0.00066189288,1.5300157
640.0,0.0006397823,3.330999999999972e-06,0.0006364513,1.385838
650.0,0.00064868137,4.054159999999983e-06,0.00064462721,1.3237083
660.0,0.00068969188,6.63169000000006e-06,0.00068306019,1.3469536
670.0,0.00077252255,1.1370569999999912e-05,0.00076115198,1.4657097
680.0,0.00089167973,1.8850650000000056e-05,0.00087282908,1.7090907
690.0,0.0010606466,2.9813500000000015e-05,0.0010308331,2.1200968
700.0,0.0013149602,4.6722600000000114e-05,0.0012682376,2.8162185
710.0,0.0016997737,7.30377e-05,0.001626736,3.9843747
720.0,0.0023433815,0.00011994620000000018,0.0022234353,6.1844714
730.0,0.0033804581,0.00019875019999999978,0.0031817079,10.105226
740.0,0.004900242,0.0003158750999999998,0.0045843669,16.334193
750.0,0.007128536,0.0004903821000000006,0.0066381539,26.205357
760.0,0.0097414516,0.0006977684999999994,0.0090436831,38.922067
770.0,0.011910555,0.0008916229999999994,0.011018932,52.168405
780.0,0.012243476,0.000965413,0.011278063,59.453514
790.0,0.010305701,0.0008545693999999996,0.0094511316,55.550882
800.0,0.0076429658,0.0006633883000000005,0.0069795775,45.608758
810.0,0.0054498433,0.0004921605999999995,0.0049576827,35.832619
820.0,0.0039376561,0.00036658869999999996,0.0035710674,28.285803
830.0,0.0029191456,0.0002798774000000001,0.0026392682,22.892685
840.0,0.0022490436,0.0002202313999999997,0.0020288122,19.09007
850.0,0.0017898241,0.00017856030000000002,0.0016112638,16.390165
860.0,0.001450352,0.0001481039,0.0013022481,14.384161
870.0,0.0011885246,0.0001246165000000001,0.0010639081,12.79933
880.0,0.00098851458,0.00010597353000000003,0.00088254105,11.507053
890.0,0.00083855195,9.107492999999999e-05,0.00074747702,10.449935
900.0,0.00073452659,7.933981000000001e-05,0.00065518678,9.6105144
